Entry	Entry name	Protein names	Length	Organism	Proteomes	Protein families	DNA binding	Metal binding	Pathway	pH dependence	Temperature dependence	Features	Subcellular location [CC]	Intramembrane	Topological domain	Transmembrane
P50944	AVT4_YEAST	Vacuolar amino acid transporter 4	713	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome XIV	Amino acid/polyamine transporter 2 family						Chain (1); Modified residue (3); Topological domain (13); Transmembrane (12)	SUBCELLULAR LOCATION: Vacuole membrane {ECO:0000269|PubMed:11274162}; Multi-pass membrane protein {ECO:0000269|PubMed:11274162}.		TOPO_DOM 1..242;  /note="Vacuolar";  /evidence="ECO:0000255"; TOPO_DOM 264..301;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 323..326;  /note="Vacuolar";  /evidence="ECO:0000255"; TOPO_DOM 348..373;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 395..410;  /note="Vacuolar";  /evidence="ECO:0000255"; TOPO_DOM 432..438;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 460..483;  /note="Vacuolar";  /evidence="ECO:0000255"; TOPO_DOM 505..515;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 537..561;  /note="Vacuolar";  /evidence="ECO:0000255"; TOPO_DOM 583..621;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 643..648;  /note="Vacuolar";  /evidence="ECO:0000255"; TOPO_DOM 670..692;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 712..713;  /note="Vacuolar";  /evidence="ECO:0000255"	TRANSMEM 243..263;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 302..322;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 327..347;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 374..394;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 411..431;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 439..459;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 484..504;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 516..536;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 562..582;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 622..642;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 649..669;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 693..711;  /note="Helical";  /evidence="ECO:0000255"
P25627	BUD23_YEAST	18S rRNA (guanine(1575)-N(7))-methyltransferase (EC 2.1.1.309) (Bud site selection protein 23)	275	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome III	Class I-like SAM-binding methyltransferase superfamily, BUD23/WBSCR22 family						Beta strand (7); Chain (1); Helix (8); Motif (1); Mutagenesis (4); Turn (2)	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:14562095}. Nucleus {ECO:0000269|PubMed:14562095}.			
P12630	BAR1_YEAST	Barrierpepsin (EC 3.4.23.35) (BAR proteinase) (Extracellular 'barrier' protein)	587	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome IX	Peptidase A1 family						Active site (2); Chain (1); Disulfide bond (1); Domain (1); Glycosylation (9); Signal peptide (1)	SUBCELLULAR LOCATION: Secreted.			
P53838	BOR1_YEAST	Boron transporter 1	576	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome XIV	Anion exchanger (TC 2.A.31) family						Chain (1); Topological domain (13); Transmembrane (12)	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein. Vacuole membrane; Multi-pass membrane protein.		TOPO_DOM 1..84;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 106..116;  /note="Extracellular";  /evidence="ECO:0000255"; TOPO_DOM 135..140;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 161..165;  /note="Extracellular";  /evidence="ECO:0000255"; TOPO_DOM 187..192;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 214..235;  /note="Extracellular";  /evidence="ECO:0000255"; TOPO_DOM 257..274;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 296..329;  /note="Extracellular";  /evidence="ECO:0000255"; TOPO_DOM 351..373;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 395..438;  /note="Extracellular";  /evidence="ECO:0000255"; TOPO_DOM 460..495;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 517..518;  /note="Extracellular";  /evidence="ECO:0000255"; TOPO_DOM 540..576;  /note="Cytoplasmic";  /evidence="ECO:0000255"	TRANSMEM 85..105;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 117..134;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 141..160;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 166..186;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 193..213;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 236..256;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 275..295;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 330..350;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 374..394;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 439..459;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 496..516;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 519..539;  /note="Helical";  /evidence="ECO:0000255"
Q02948	BECN1_YEAST	Vacuolar protein sorting-associated protein 30 (Autophagy-related protein 6)	557	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome XVI	Beclin family						Beta strand (7); Chain (1); Coiled coil (1); Helix (4); Modified residue (1); Region (2); Turn (1)	SUBCELLULAR LOCATION: Endosome membrane; Peripheral membrane protein. Vacuole membrane; Peripheral membrane protein. Preautophagosomal structure membrane {ECO:0000269|PubMed:23878393}; Peripheral membrane protein. Note=With the VPS34 PI3-kinase complex I, localizes to the vacuole-isolation membrane contact site (VICS) during isolation membrane (IM) expansion. The IM is a membrane sac generated from the pre-autophagosomal structure that ultimately expands to become a mature autophagosome.			
P48582	BRO1_YEAST	Vacuolar-sorting protein BRO1 (Amino acid sensor-independent protein 6) (BCK1-like resistance to osmotic shock protein 1) (BRO domain-containing protein 1) (Nitrogen permease inactivating protein 3) (Vacuolar protein-sorting-associated protein 31)	844	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome XVI							Beta strand (6); Chain (1); Coiled coil (1); Domain (1); Helix (17); Modified residue (1); Sequence conflict (1); Turn (4)	SUBCELLULAR LOCATION: Cytoplasm. Endosome.			
P07245	C1TC_YEAST	C-1-tetrahydrofolate synthase, cytoplasmic (C1-THF synthase) [Includes: Methylenetetrahydrofolate dehydrogenase (EC 1.5.1.5); Methenyltetrahydrofolate cyclohydrolase (EC 3.5.4.9); Formyltetrahydrofolate synthetase (EC 6.3.4.3)]	946	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome VII	Tetrahydrofolate dehydrogenase/cyclohydrolase family; Formate--tetrahydrofolate ligase family			PATHWAY: One-carbon metabolism; tetrahydrofolate interconversion.			Binding site (1); Chain (1); Modified residue (3); Mutagenesis (3); Nucleotide binding (2); Region (5)	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:14562095}. Nucleus {ECO:0000269|PubMed:14562095}.			
P39011	BEM4_YEAST	Bud emergence protein 4	633	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome XVI							Chain (1)				
P43571	BST1_YEAST	GPI inositol-deacylase (EC 3.1.-.-) (Bypass of SEC30 protein 1)	1029	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome VI	GPI inositol-deacylase family						Active site (1); Chain (1); Glycosylation (11); Transmembrane (9)	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:14562095}; Multi-pass membrane protein {ECO:0000269|PubMed:14562095}.			TRANSMEM 57..77;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 708..728;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 749..769;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 804..824;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 872..892;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 920..940;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 957..977;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 985..1005;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 1008..1028;  /note="Helical";  /evidence="ECO:0000255"
P07258	CARA_YEAST	Carbamoyl-phosphate synthase arginine-specific small chain (CPS-A) (EC 6.3.5.5) (Arginine-specific carbamoyl-phosphate synthetase, glutamine chain)	411	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome XV	CarA family			PATHWAY: Amino-acid biosynthesis; L-arginine biosynthesis; carbamoyl phosphate from bicarbonate: step 1/1.			Active site (3); Chain (1); Domain (1)	SUBCELLULAR LOCATION: Cytoplasm.			
P21269	CCA1_YEAST	CCA tRNA nucleotidyltransferase, mitochondrial (EC 2.7.7.72) (CCA-adding enzyme) (tRNA CCA-pyrophosphorylase) (tRNA adenylyltransferase) (tRNA nucleotidyltransferase)	546	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome V	TRNA nucleotidyltransferase/poly(A) polymerase family						Alternative sequence (2); Chain (1); Transit peptide (1)	SUBCELLULAR LOCATION: Cytoplasm. Nucleus.; SUBCELLULAR LOCATION: [Isoform Mitochondrial]: Mitochondrion.			
P43569	CAF16_YEAST	CCR4-associated factor 16	289	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome VI	ABC transporter superfamily						Chain (1); Domain (1); Nucleotide binding (1)	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:14562095}. Nucleus {ECO:0000269|PubMed:14562095}.			
P37267	CBP4_YEAST	Assembly factor CBP4 (Cytochrome b mRNA-processing protein 4)	147	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome VII	CBP4 family						Chain (1); Erroneous initiation (4); Sequence conflict (1); Transmembrane (1)	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000305}; Single-pass membrane protein {ECO:0000305}.			TRANSMEM 5..27;  /note="Helical";  /evidence="ECO:0000255"
P32797	CDC13_YEAST	Cell division control protein 13	924	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome IV		DNA_BIND 500..686;  /note="OB"					Beta strand (25); Chain (1); DNA binding (1); Helix (18); Modified residue (3); Mutagenesis (8); Sequence conflict (1); Turn (4)	SUBCELLULAR LOCATION: Chromosome, telomere.			
O13547	CCW14_YEAST	Covalently-linked cell wall protein 14 (Inner cell wall protein)	238	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome XII	CCW14 family						Chain (1); Compositional bias (1); Cross-link (1); Glycosylation (1); Lipidation (1); Propeptide (1); Signal peptide (1)	SUBCELLULAR LOCATION: Secreted, cell wall. Membrane; Lipid-anchor, GPI-anchor. Note=Covalently-linked GPI-modified cell wall protein (GPI-CWP).			
P38273	CCZ1_YEAST	Vacuolar fusion protein CCZ1 (Autophagy-related protein 11) (Calcium-caffeine-zinc sensitivity protein 1) (Cytoplasm to vacuole targeting protein 16)	704	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome II	CCZ1 family						Chain (1)	SUBCELLULAR LOCATION: Endosome, multivesicular body membrane; Peripheral membrane protein. Prevacuolar compartment membrane; Peripheral membrane protein. Vacuole membrane; Peripheral membrane protein. Note=The association of the CCZ1-MON1 complex with the vacuole is regulated by the C-Vps/HOPS complex.			
P38170	CND2_YEAST	Condensin complex subunit 2 (Barren homolog) (CAPH homolog)	754	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome II	CND2 (condensin subunit 2) family						Beta strand (2); Chain (1); Frameshift (2); Helix (6); Modified residue (2); Sequence conflict (2); Turn (1)	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:10749931}. Cytoplasm {ECO:0000269|PubMed:10749931}. Chromosome {ECO:0000269|PubMed:10749931}. Note=In interphase cells, the majority of the condensin complex is found in the cytoplasm, while a minority of the complex is associated with chromatin. A subpopulation of the complex however remains associated with chromosome foci in interphase cells. During mitosis, most of the condensin complex is associated with the chromatin. At the onset of prophase, condensin associates with chromosome arms and to chromosome condensation. Dissociation from chromosomes is observed in late telophase.			
P53178	ALG13_YEAST	UDP-N-acetylglucosamine transferase subunit ALG13 (EC 2.4.1.141) (Asparagine-linked glycosylation protein 13)	202	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome VII	Glycosyltransferase 28 family						Beta strand (12); Chain (1); Helix (8); Turn (4)	SUBCELLULAR LOCATION: Endoplasmic reticulum {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:16100110}.			
P15274	AMPD_YEAST	AMP deaminase (EC 3.5.4.6) (Myoadenylate deaminase)	810	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome XIII	Metallo-dependent hydrolases superfamily, Adenosine and AMP deaminases family		METAL 362;  /note="Zinc; catalytic";  /evidence="ECO:0000250"; METAL 364;  /note="Zinc; catalytic";  /evidence="ECO:0000250"; METAL 630;  /note="Zinc; catalytic";  /evidence="ECO:0000250"; METAL 707;  /note="Zinc; catalytic";  /evidence="ECO:0000250"	PATHWAY: Purine metabolism; IMP biosynthesis via salvage pathway; IMP from AMP: step 1/1.			Active site (1); Binding site (2); Chain (1); Metal binding (4); Modified residue (4); Region (2); Sequence conflict (1)				
P18239	ADT2_YEAST	ADP,ATP carrier protein 2 (ADP/ATP translocase 2) (Adenine nucleotide translocator 2) (ANT 2) (Petite colonies protein 9)	318	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome II	Mitochondrial carrier (TC 2.A.29) family						Beta strand (1); Binding site (3); Chain (1); Helix (15); Motif (1); Mutagenesis (6); Region (1); Repeat (3); Sequence conflict (8); Transmembrane (6); Turn (2)	SUBCELLULAR LOCATION: Mitochondrion inner membrane; Multi-pass membrane protein {ECO:0000269|PubMed:24474793}.			TRANSMEM 23..50;  /note="Helical; Name=1";  /evidence="ECO:0000269|PubMed:24474793"; TRANSMEM 91..115;  /note="Helical; Name=2";  /evidence="ECO:0000269|PubMed:24474793"; TRANSMEM 123..143;  /note="Helical; Name=3";  /evidence="ECO:0000269|PubMed:24474793"; TRANSMEM 193..214;  /note="Helical; Name=4";  /evidence="ECO:0000269|PubMed:24474793"; TRANSMEM 228..248;  /note="Helical; Name=5";  /evidence="ECO:0000269|PubMed:24474793"; TRANSMEM 288..308;  /note="Helical; Name=6";  /evidence="ECO:0000269|PubMed:24474793"
P40351	ALG8_YEAST	Dolichyl pyrophosphate Glc1Man9GlcNAc2 alpha-1,3-glucosyltransferase (EC 2.4.1.265) (Asparagine-linked glycosylation protein 8) (Dolichyl-P-Glc:Glc1Man9GlcNAc2-PP-dolichyl alpha-1,3-glucosyltransferase) (Dolichyl-P-Glc:Glc1Man9GlcNAc2-PP-dolichyl glucosyltransferase)	577	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome XV	ALG6/ALG8 glucosyltransferase family			PATHWAY: Protein modification; protein glycosylation.			Chain (1); Topological domain (14); Transmembrane (13)	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane; Multi-pass membrane protein.		TOPO_DOM 1..42;  /note="Lumenal";  /evidence="ECO:0000255"; TOPO_DOM 64..92;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 114..139;  /note="Lumenal";  /evidence="ECO:0000255"; TOPO_DOM 161..168;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 190..219;  /note="Lumenal";  /evidence="ECO:0000255"; TOPO_DOM 241..266;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 288..307;  /note="Lumenal";  /evidence="ECO:0000255"; TOPO_DOM 329..382;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 404..419;  /note="Lumenal";  /evidence="ECO:0000255"; TOPO_DOM 441..447;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 469..470;  /note="Lumenal";  /evidence="ECO:0000255"; TOPO_DOM 492..504;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 526..543;  /note="Lumenal";  /evidence="ECO:0000255"; TOPO_DOM 565..577;  /note="Cytoplasmic";  /evidence="ECO:0000255"	TRANSMEM 43..63;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 93..113;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 140..160;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 169..189;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 220..240;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 267..287;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 308..328;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 383..403;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 420..440;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 448..468;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 471..491;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 505..525;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 544..564;  /note="Helical";  /evidence="ECO:0000255"
P46672	ARC1_YEAST	tRNA-aminoacylation cofactor ARC1 (Acyl-RNA-complex protein 1) (GU4 nucleic-binding protein 1) (G4p1 protein) (P42) (tRNA-interacting factor ARC1)	376	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome VII	TRNA-aminoacylation cofactor ARC1 family						Beta strand (13); Chain (1); Domain (1); Helix (13); Mutagenesis (2); Region (3); Sequence conflict (2); Turn (2)	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:11726524, ECO:0000269|PubMed:15710377, ECO:0000269|PubMed:17131041, ECO:0000269|PubMed:8895587}. Note=Largely excluded from the nucleus.			
P47064	AP3S_YEAST	AP-3 complex subunit sigma (AP-3 complex sigma3A subunit) (Adaptor-related protein complex 3 subunit sigma) (Clathrin-associated/assembly/adaptor protein, small 3) (Sigma-adaptin 3A) (Sigma3-adaptin)	194	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome X	Adaptor complexes small subunit family						Chain (1)	SUBCELLULAR LOCATION: Golgi apparatus {ECO:0000269|PubMed:14562095}. Cytoplasmic vesicle membrane {ECO:0000269|PubMed:10559961}; Peripheral membrane protein {ECO:0000305|PubMed:10559961}; Cytoplasmic side {ECO:0000305|PubMed:10559961}. Note=Component of the coat surrounding the cytoplasmic face of coated vesicles located at the Golgi complex. {ECO:0000269|PubMed:10559961, ECO:0000305}.			
P39960	BEM2_YEAST	GTPase-activating protein BEM2/IPL2 (Bud emergence protein 2)	2167	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome V							Chain (1); Compositional bias (6); Cross-link (1); Domain (3); Modified residue (8)				
P37366	CCL1_YEAST	Cyclin CCL1	393	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome XVI	Cyclin family, Cyclin C subfamily						Chain (1)				
Q2V2P8	CENPW_YEAST	Inner kinetochore subunit WIP1 (CENP-W homolog) (Constitutive centromere-associated network protein WIP1) (W-like protein 1)	89	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome IV	CENP-W/WIP1 family						Chain (1)	SUBCELLULAR LOCATION: Nucleus {ECO:0000305|PubMed:22561346}. Chromosome, centromere, kinetochore {ECO:0000305|PubMed:22561346}.			
P38779	CIC1_YEAST	Proteasome-interacting protein CIC1 (Core interacting component 1)	376	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome VIII							Beta strand (11); Chain (1); Helix (12); Region (1); Turn (2)	SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000269|PubMed:11500370, ECO:0000269|PubMed:14562095}.			
P19073	CDC42_YEAST	Cell division control protein 42 (Suppressor of RHO3 protein 2)	191	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	UP000002311: Chromosome XII	Small GTPase superfamily, Rho family, CDC42 subfamily						Chain (1); Lipidation (1); Modified residue (1); Motif (1); Mutagenesis (8); Nucleotide binding (3); Propeptide (1); Sequence conflict (1)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}; Lipid-anchor {ECO:0000305}; Cytoplasmic side {ECO:0000305}.			
